userId,group,item,responseNo,checked
2dbbee6114f443d6a53db269f14ec36f,1,age,1,0
2dbbee6114f443d6a53db269f14ec36f,1,age,2,1
2dbbee6114f443d6a53db269f14ec36f,1,age,3,0
2dbbee6114f443d6a53db269f14ec36f,1,age,4,0
2dbbee6114f443d6a53db269f14ec36f,1,age,5,0
2dbbee6114f443d6a53db269f14ec36f,1,age,6,0
2dbbee6114f443d6a53db269f14ec36f,1,age,7,0
2dbbee6114f443d6a53db269f14ec36f,1,gender,1,0
2dbbee6114f443d6a53db269f14ec36f,1,gender,2,0
2dbbee6114f443d6a53db269f14ec36f,1,gender,3,0
2dbbee6114f443d6a53db269f14ec36f,1,gender,4,0
2dbbee6114f443d6a53db269f14ec36f,1,gender,5,0
2dbbee6114f443d6a53db269f14ec36f,1,gender,6,0
2dbbee6114f443d6a53db269f14ec36f,1,gender,7,1
