userId,group,itemNo,responseNo,checked
d32be763602945d7b39c69f0a5952ded,0,2,1,0
d32be763602945d7b39c69f0a5952ded,0,2,2,0
d32be763602945d7b39c69f0a5952ded,0,2,3,0
d32be763602945d7b39c69f0a5952ded,0,2,4,0
d32be763602945d7b39c69f0a5952ded,0,2,5,1
d32be763602945d7b39c69f0a5952ded,0,2,6,0
d32be763602945d7b39c69f0a5952ded,0,3,1,0
d32be763602945d7b39c69f0a5952ded,0,3,2,0
d32be763602945d7b39c69f0a5952ded,0,3,3,0
d32be763602945d7b39c69f0a5952ded,0,3,4,0
d32be763602945d7b39c69f0a5952ded,0,3,5,1
d32be763602945d7b39c69f0a5952ded,0,3,6,0
d32be763602945d7b39c69f0a5952ded,0,4,1,0
d32be763602945d7b39c69f0a5952ded,0,4,2,0
d32be763602945d7b39c69f0a5952ded,0,4,3,0
d32be763602945d7b39c69f0a5952ded,0,4,4,0
d32be763602945d7b39c69f0a5952ded,0,4,5,0
d32be763602945d7b39c69f0a5952ded,0,4,6,1
d32be763602945d7b39c69f0a5952ded,0,5,1,0
d32be763602945d7b39c69f0a5952ded,0,5,2,0
d32be763602945d7b39c69f0a5952ded,0,5,3,0
d32be763602945d7b39c69f0a5952ded,0,5,4,1
d32be763602945d7b39c69f0a5952ded,0,5,5,0
d32be763602945d7b39c69f0a5952ded,0,5,6,0
d32be763602945d7b39c69f0a5952ded,0,6,1,0
d32be763602945d7b39c69f0a5952ded,0,6,2,0
d32be763602945d7b39c69f0a5952ded,0,6,3,0
d32be763602945d7b39c69f0a5952ded,0,6,4,1
d32be763602945d7b39c69f0a5952ded,0,6,5,0
d32be763602945d7b39c69f0a5952ded,0,6,6,0
d32be763602945d7b39c69f0a5952ded,0,7,1,0
d32be763602945d7b39c69f0a5952ded,0,7,2,0
d32be763602945d7b39c69f0a5952ded,0,7,3,0
d32be763602945d7b39c69f0a5952ded,0,7,4,1
d32be763602945d7b39c69f0a5952ded,0,7,5,0
d32be763602945d7b39c69f0a5952ded,0,7,6,0
