userId,group,itemNo,responseNo,checked
2dbbee6114f443d6a53db269f14ec36f,1,0,1,0
2dbbee6114f443d6a53db269f14ec36f,1,0,2,0
2dbbee6114f443d6a53db269f14ec36f,1,0,3,0
2dbbee6114f443d6a53db269f14ec36f,1,0,4,1
2dbbee6114f443d6a53db269f14ec36f,1,0,5,0
2dbbee6114f443d6a53db269f14ec36f,1,0,6,0
2dbbee6114f443d6a53db269f14ec36f,1,1,1,0
2dbbee6114f443d6a53db269f14ec36f,1,1,2,0
2dbbee6114f443d6a53db269f14ec36f,1,1,3,0
2dbbee6114f443d6a53db269f14ec36f,1,1,4,1
2dbbee6114f443d6a53db269f14ec36f,1,1,5,0
2dbbee6114f443d6a53db269f14ec36f,1,1,6,0
2dbbee6114f443d6a53db269f14ec36f,1,2,1,0
2dbbee6114f443d6a53db269f14ec36f,1,2,2,0
2dbbee6114f443d6a53db269f14ec36f,1,2,3,0
2dbbee6114f443d6a53db269f14ec36f,1,2,4,1
2dbbee6114f443d6a53db269f14ec36f,1,2,5,0
2dbbee6114f443d6a53db269f14ec36f,1,2,6,0
2dbbee6114f443d6a53db269f14ec36f,1,4,1,0
2dbbee6114f443d6a53db269f14ec36f,1,4,2,0
2dbbee6114f443d6a53db269f14ec36f,1,4,3,0
2dbbee6114f443d6a53db269f14ec36f,1,4,4,1
2dbbee6114f443d6a53db269f14ec36f,1,4,5,0
2dbbee6114f443d6a53db269f14ec36f,1,4,6,0
2dbbee6114f443d6a53db269f14ec36f,1,3,1,0
2dbbee6114f443d6a53db269f14ec36f,1,3,2,0
2dbbee6114f443d6a53db269f14ec36f,1,3,3,0
2dbbee6114f443d6a53db269f14ec36f,1,3,4,1
2dbbee6114f443d6a53db269f14ec36f,1,3,5,0
2dbbee6114f443d6a53db269f14ec36f,1,3,6,0
2dbbee6114f443d6a53db269f14ec36f,1,5,1,0
2dbbee6114f443d6a53db269f14ec36f,1,5,2,0
2dbbee6114f443d6a53db269f14ec36f,1,5,3,0
2dbbee6114f443d6a53db269f14ec36f,1,5,4,1
2dbbee6114f443d6a53db269f14ec36f,1,5,5,0
2dbbee6114f443d6a53db269f14ec36f,1,5,6,0
2dbbee6114f443d6a53db269f14ec36f,1,6,1,0
2dbbee6114f443d6a53db269f14ec36f,1,6,2,0
2dbbee6114f443d6a53db269f14ec36f,1,6,3,0
2dbbee6114f443d6a53db269f14ec36f,1,6,4,1
2dbbee6114f443d6a53db269f14ec36f,1,6,5,0
2dbbee6114f443d6a53db269f14ec36f,1,6,6,0
2dbbee6114f443d6a53db269f14ec36f,1,7,1,0
2dbbee6114f443d6a53db269f14ec36f,1,7,2,0
2dbbee6114f443d6a53db269f14ec36f,1,7,3,0
2dbbee6114f443d6a53db269f14ec36f,1,7,4,1
2dbbee6114f443d6a53db269f14ec36f,1,7,5,0
2dbbee6114f443d6a53db269f14ec36f,1,7,6,0
